seed1	3203395597
seed2	3737844653
num_generations	1000
num_sites	2e+08
num_populations	2
init_mse	0
prev_sim_sample	0
compact_type	compact_all
compact_interval	100
device	0

number of time samples	2
time sample	0		1
generation	20000		21000
number of mutations reported	5221		16682
total number of mutations generated	5221		404902
(19206,0,8,0)	0	46	722	977
(19207,0,68,0)	20	111	1000	1000
(19207,0,151,0)	75	182	1000	1000
(19207,1,168,0)	98	147	1000	1000
(19210,0,194,0)	47	94	896	983
(19210,1,14,0)	152	109	1000	1000
(19211,0,139,0)	1	44	812	955
(19211,1,196,0)	107	36	986	999
(19212,0,172,0)	243	110	924	995
(19212,1,57,0)	8	60	832	963
(19212,1,138,0)	94	123	801	956
(19213,0,77,0)	12	35	942	985
(19213,1,43,0)	407	248	1000	1000
(19215,0,170,0)	250	523	1000	1000
(19217,1,76,0)	146	67	964	998
(19221,0,137,0)	50	132	781	988
(19221,1,13,0)	257	240	1000	1000
(19222,1,14,0)	257	89	712	976
(19226,0,56,0)	99	107	684	945
(19226,1,73,0)	176	81	1000	1000
(19227,1,200,0)	114	138	1000	1000
(19228,0,141,0)	81	50	919	956
(19229,0,96,0)	305	247	1000	1000
(19229,0,167,0)	234	141	1000	1000
(19230,0,3,0)	162	209	1000	1000
(19231,0,154,0)	70	43	954	955
(19231,1,22,0)	5	98	865	987
(19232,1,197,0)	22	181	1000	1000
(19237,0,111,0)	8	0	0	0
(19237,1,85,0)	73	78	664	951
(19240,1,91,0)	282	126	889	988
(19241,0,126,0)	6	57	0	0
(19242,0,49,0)	55	2	910	986
(19244,0,16,0)	700	872	1000	1000
(19244,0,48,0)	132	174	1000	1000
(19245,0,147,0)	326	274	1000	1000
(19246,1,75,0)	125	339	1000	1000
(19248,0,164,0)	273	283	645	923
(19248,0,168,0)	131	308	1000	1000
(19249,0,179,0)	44	6	0	0
(19249,1,145,0)	851	802	1000	1000
(19251,1,61,0)	217	99	1000	1000
(19251,1,63,0)	0	3	0	0
(19253,1,59,0)	81	17	1000	1000
(19253,1,167,0)	15	12	0	0
(19254,0,145,0)	58	146	996	958
(19255,1,168,0)	33	66	1000	1000
(19256,1,127,0)	146	31	516	902
(19262,1,114,0)	155	110	1000	1000
(19262,1,162,0)	28	17	0	0
(19263,0,28,0)	373	381	1000	1000
(19264,0,48,0)	227	94	1000	1000
(19265,1,98,0)	33	54	792	918
(19266,0,100,0)	87	98	1000	1000
(19266,1,30,0)	83	149	1000	1000
(19271,0,38,0)	21	0	0	0
(19271,0,125,0)	47	7	877	960
(19274,1,78,0)	394	185	1000	1000
(19275,1,122,0)	61	57	910	976
(19278,0,191,0)	250	42	998	1000
(19278,1,112,0)	21	125	963	982
(19280,1,182,0)	36	107	632	889
(19281,0,86,0)	300	72	1000	1000
(19283,1,93,0)	86	255	1000	1000
(19284,0,214,0)	37	7	0	0
(19284,1,182,0)	63	199	999	1000
(19285,0,32,0)	63	196	1000	1000
(19286,0,148,0)	78	85	1000	1000
(19293,0,55,0)	9	151	804	973
(19295,1,66,0)	308	74	1000	1000
(19295,1,107,0)	16	16	0	0
(19297,0,152,0)	193	236	1000	1000
(19299,0,17,0)	190	18	812	987
(19299,0,68,0)	287	378	1000	1000
(19300,0,48,0)	401	365	1000	1000
(19300,1,177,0)	390	308	1000	1000
(19301,0,193,0)	22	27	0	0
(19301,0,200,0)	209	82	793	990
(19301,1,210,0)	60	2	0	0
(19302,1,91,0)	25	1	0	0
(19303,0,77,0)	158	69	841	990
(19304,0,44,0)	277	369	1000	1000
(19304,0,163,0)	44	26	595	930
(19305,0,141,0)	196	333	1000	1000
(19305,1,147,0)	71	87	1000	1000
(19306,0,190,0)	16	198	1000	1000
(19306,1,127,0)	130	166	881	990
(19307,0,137,0)	35	15	991	1000
(19309,0,12,0)	98	80	837	992
(19314,1,203,0)	12	42	984	1000
(19315,0,107,0)	326	546	1000	1000
(19320,0,3,0)	53	289	891	974
(19321,0,32,0)	262	249	890	986
(19321,0,67,0)	141	287	885	979
(19321,1,70,0)	271	93	997	997
(19323,0,57,0)	35	3	0	0
(19323,0,178,0)	27	3	0	0
(19324,1,147,0)	134	134	1000	1000
(19325,1,59,0)	119	119	1000	1000
(19326,0,0,0)	98	205	1000	1000
(19326,0,80,0)	21	5	0	0
(19329,1,73,0)	60	108	844	934
(19329,1,81,0)	40	20	973	999
(19331,0,185,0)	28	12	1000	1000
(19333,0,143,0)	395	549	1000	1000
(19333,0,146,0)	38	38	0	0
(19333,0,150,0)	9	27	1000	1000
(19333,0,184,0)	1	0	0	0
(19333,1,111,0)	26	13	854	984
(19335,1,21,0)	22	1	0	0
(19340,0,35,0)	86	19	0	0
(19344,0,174,0)	471	628	1000	1000
(19345,0,99,0)	60	1	0	0
(19345,0,165,0)	3	65	0	0
(19345,0,180,0)	70	171	1000	1000
(19347,0,59,0)	102	5	1000	1000
(19347,0,161,0)	186	319	1000	1000
(19349,0,68,0)	99	141	494	918
(19349,1,177,0)	206	229	1000	1000
(19351,1,34,0)	289	242	1000	1000
(19351,1,50,0)	43	128	891	992
(19352,0,53,0)	521	557	806	962
(19352,0,158,0)	35	28	1000	1000
(19352,1,115,0)	174	124	1000	1000
(19352,1,120,0)	2	1	0	0
(19355,0,9,0)	97	187	1000	1000
(19356,0,171,0)	268	127	1000	1000
(19359,0,30,0)	0	22	1000	1000
(19359,0,140,0)	98	163	978	993
(19359,1,3,0)	259	204	1000	1000
(19360,0,20,0)	6	57	0	0
(19363,0,76,0)	81	51	1000	1000
(19365,0,9,0)	25	46	576	943
(19366,0,19,0)	0	30	554	889
(19367,0,172,0)	181	157	1000	1000
(19368,0,100,0)	349	562	1000	1000
(19368,1,46,0)	24	1	0	0
(19369,0,28,0)	285	202	1000	1000
(19369,0,81,0)	125	56	809	933
(19370,1,90,0)	17	75	950	991
(19372,1,9,0)	47	28	0	0
(19373,1,30,0)	44	104	996	1000
(19375,0,199,0)	397	141	1000	1000
(19377,0,1,0)	49	11	0	0
(19377,1,164,0)	0	9	0	0
(19381,0,149,0)	60	66	820	996
(19383,0,129,0)	47	105	996	989
(19383,0,172,0)	0	21	0	0
(19383,1,60,0)	201	438	1000	1000
(19385,1,46,0)	0	54	1000	1000
(19386,1,67,0)	207	127	1000	1000
(19388,0,100,0)	106	155	1000	1000
(19388,0,146,0)	136	108	1000	965
(19389,0,119,0)	206	87	1000	1000
(19389,0,174,0)	150	134	1000	1000
(19389,1,100,0)	138	52	1000	1000
(19393,1,146,0)	49	88	1000	1000
(19395,0,22,0)	252	228	1000	1000
(19398,0,126,0)	260	138	945	910
(19398,1,175,0)	178	102	1000	1000
(19398,1,210,0)	60	47	1000	1000
(19399,0,192,0)	134	121	911	997
(19400,1,175,0)	66	26	784	983
(19401,1,141,0)	142	85	998	999
(19403,0,53,0)	4	0	0	0
(19403,0,66,0)	40	94	833	952
(19405,0,94,0)	71	3	0	0
(19405,0,112,0)	14	66	812	955
(19405,0,126,0)	78	231	1000	1000
(19405,1,175,0)	2	25	0	0
(19406,0,140,0)	66	22	594	814
(19406,0,167,0)	157	119	906	993
(19406,1,94,0)	10	0	0	0
(19406,1,133,0)	249	252	941	1000
(19407,0,51,0)	22	79	753	938
(19410,0,18,0)	415	217	674	966
(19410,0,105,0)	69	123	1000	1000
(19412,1,49,0)	0	16	1000	1000
(19413,0,92,0)	93	256	1000	1000
(19413,1,181,0)	62	120	883	944
(19414,1,82,0)	312	89	1000	1000
(19415,1,173,0)	363	126	1000	1000
(19416,0,135,0)	168	49	914	993
(19418,0,77,0)	60	112	1000	1000
(19418,0,113,0)	133	99	981	1000
(19418,1,53,0)	13	7	994	1000
(19420,0,6,0)	3	0	0	0
(19420,1,93,0)	70	12	611	975
(19420,1,169,0)	20	0	0	0
(19421,0,94,0)	179	118	953	1000
(19421,1,181,0)	68	13	0	0
(19422,1,203,0)	41	153	921	995
(19424,1,184,0)	5	0	0	0
(19424,1,187,0)	190	283	935	986
(19425,1,118,0)	75	42	656	921
(19426,0,78,0)	3	134	1000	1000
(19426,0,179,0)	3	0	0	0
(19426,1,108,0)	412	255	1000	1000
(19426,1,146,0)	27	89	1000	1000
(19429,1,0,0)	36	25	510	926
(19430,0,16,0)	50	65	1000	1000
(19430,1,63,0)	18	0	0	0
(19430,1,136,0)	6	15	0	0
(19431,0,29,0)	1	16	891	924
(19432,1,165,0)	180	344	1000	1000
(19432,1,184,0)	103	202	653	984
(19434,1,92,0)	57	62	908	1000
(19438,0,59,0)	93	162	929	978
(19438,0,176,0)	138	107	773	914
(19439,0,51,0)	4	64	1000	1000
(19440,1,94,0)	22	51	683	963
(19441,1,158,0)	133	42	1000	1000
(19443,0,84,0)	174	85	741	929
(19443,1,7,0)	24	0	1000	1000
(19443,1,137,0)	18	0	1000	1000
(19444,0,7,0)	0	33	933	989
(19444,0,69,0)	283	183	1000	1000
(19446,0,13,0)	268	199	1000	1000
(19446,0,72,0)	103	227	1000	1000
(19447,1,71,0)	114	31	754	947
(19448,0,22,0)	190	83	768	961
(19448,0,80,0)	33	0	911	977
(19449,0,30,0)	256	198	1000	1000
(19450,0,36,0)	41	306	1000	1000
(19450,0,148,0)	31	154	780	936
(19450,1,127,0)	92	128	915	927
(19451,1,145,0)	50	82	811	977
(19452,0,65,0)	178	93	889	974
(19452,0,177,0)	632	370	1000	1000
(19452,1,67,0)	80	170	1000	992
(19454,0,170,0)	66	96	1000	1000
(19456,0,65,0)	161	146	1000	1000
(19456,0,87,0)	164	258	1000	1000
(19456,0,208,0)	91	272	990	1000
(19456,0,225,0)	101	81	1000	1000
(19456,1,73,0)	70	137	1000	1000
(19456,1,199,0)	82	48	952	986
(19458,1,150,0)	54	199	753	974
(19459,0,146,0)	42	42	910	979
(19459,1,190,0)	28	73	1000	1000
(19460,0,45,0)	292	142	1000	1000
(19461,1,150,0)	141	181	1000	1000
(19464,0,170,0)	50	91	1000	1000
(19464,1,50,0)	19	68	1000	1000
(19465,1,199,0)	31	74	979	983
(19466,0,100,0)	0	13	0	0
(19467,1,37,0)	22	5	0	0
(19467,1,87,0)	209	131	1000	1000
(19468,1,178,0)	102	294	1000	1000
(19469,0,171,0)	59	74	1000	1000
(19470,1,5,0)	12	81	0	0
(19471,0,187,0)	242	171	1000	1000
(19472,1,199,0)	71	103	1000	1000
(19473,0,185,0)	113	196	1000	1000
(19473,1,162,0)	5	0	0	0
(19474,1,3,0)	20	213	1000	1000
(19474,1,31,0)	54	258	939	997
(19474,1,51,0)	18	43	906	995
(19475,1,154,0)	2	21	0	0
(19477,0,114,0)	37	78	1000	1000
(19477,1,77,0)	24	70	844	924
(19479,0,55,0)	244	184	569	908
(19479,1,162,0)	62	95	1000	1000
(19480,1,160,0)	48	231	987	999
(19481,0,163,0)	381	152	1000	1000
(19485,0,54,0)	75	38	905	975
(19485,0,194,0)	51	48	1000	1000
(19486,0,180,0)	14	79	1000	993
(19488,1,8,0)	9	11	0	0
(19490,0,125,0)	57	68	1000	1000
(19490,0,181,0)	80	90	959	1000
(19492,0,57,0)	29	37	1000	997
(19492,0,205,0)	73	100	972	981
(19493,1,118,0)	116	46	1000	1000
(19494,0,6,0)	174	38	1000	1000
(19495,0,89,0)	57	63	958	925
(19495,1,174,0)	22	69	930	999
(19496,0,76,0)	237	27	1000	1000
(19496,0,117,0)	163	80	999	989
(19497,0,85,0)	36	18	1000	1000
(19498,0,61,0)	27	19	1000	1000
(19500,1,5,0)	8	2	0	0
(19500,1,53,0)	29	58	1000	1000
(19501,0,55,0)	100	146	770	955
(19503,1,8,0)	120	173	1000	1000
(19504,0,85,0)	28	115	1000	1000
(19507,1,11,0)	0	20	0	0
(19508,0,32,0)	19	54	1000	1000
(19509,1,58,0)	312	387	1000	1000
(19509,1,122,0)	163	64	980	972
(19510,0,28,0)	171	81	1000	1000
(19511,0,143,0)	1	50	901	991
(19511,1,37,0)	26	50	997	995
(19512,1,80,0)	113	89	1000	1000
(19512,1,87,0)	89	22	598	926
(19513,1,132,0)	129	153	1000	1000
(19514,0,54,0)	64	39	1000	1000
(19514,0,97,0)	132	12	920	997
(19514,1,80,0)	188	185	1000	1000
(19517,0,35,0)	23	92	1000	1000
(19517,0,130,0)	40	60	0	0
(19518,0,81,0)	153	67	832	967
(19518,0,101,0)	63	59	1000	997
(19519,0,90,0)	239	146	1000	1000
(19520,0,24,0)	190	176	1000	1000
(19520,0,46,0)	64	22	946	947
(19520,1,26,0)	79	267	1000	1000
(19521,1,142,0)	162	407	866	997
(19522,1,2,0)	189	171	1000	1000
(19522,1,25,0)	48	75	605	934
(19523,1,77,0)	25	40	0	0
(19524,0,212,0)	1	75	1000	1000
(19525,0,8,0)	13	83	687	916
(19525,0,168,0)	70	8	1000	1000
(19525,0,197,0)	42	25	0	0
(19525,1,137,0)	12	131	1000	1000
(19525,1,140,0)	27	63	1000	1000
(19526,0,50,0)	478	306	1000	1000
(19526,1,20,0)	188	196	942	1000
(19528,0,225,0)	17	55	1000	1000
(19529,0,18,0)	10	1	0	0
(19529,0,174,0)	1	129	1000	1000
(19531,1,77,0)	71	5	986	959
(19532,0,64,0)	40	108	1000	1000
(19533,0,2,0)	16	33	901	946
(19533,1,16,0)	42	97	1000	1000
(19535,0,85,0)	34	52	1000	1000
(19536,0,146,0)	98	113	871	865
(19536,0,194,0)	37	0	756	983
(19539,1,183,0)	13	19	1000	1000
(19540,1,74,0)	62	92	1000	1000
(19541,1,129,0)	171	230	1000	1000
(19543,0,175,0)	171	221	1000	1000
(19545,0,24,0)	39	0	0	0
(19546,0,64,0)	3	13	1000	1000
(19547,1,104,0)	7	31	896	989
(19548,0,171,0)	42	81	992	1000
(19549,0,10,0)	9	20	1000	1000
(19549,0,66,0)	24	98	1000	1000
(19549,0,178,0)	4	0	0	0
(19549,1,147,0)	156	194	1000	1000
(19551,0,22,0)	131	249	1000	1000
(19551,1,41,0)	117	27	698	939
(19551,1,105,0)	19	1	0	0
(19552,1,40,0)	14	115	963	990
(19552,1,72,0)	158	241	1000	1000
(19552,1,180,0)	105	27	999	1000
(19553,1,49,0)	0	1	0	0
(19554,1,39,0)	50	42	947	987
(19555,0,11,0)	2	55	922	999
(19556,1,14,0)	86	48	1000	1000
(19557,0,94,0)	23	53	835	961
(19557,1,149,0)	65	61	1000	1000
(19558,1,96,0)	326	203	778	991
(19559,0,77,0)	11	58	1000	1000
(19559,0,81,0)	60	189	1000	1000
(19559,1,79,0)	60	28	1000	1000
(19560,0,19,0)	12	42	1000	1000
(19562,0,101,0)	156	146	1000	1000
(19563,0,14,0)	86	35	857	992
(19563,0,24,0)	39	99	545	849
(19564,0,12,0)	58	39	1000	1000
(19564,0,142,0)	124	256	891	986
(19564,1,145,0)	80	4	1000	1000
(19565,0,165,0)	0	26	0	0
(19565,1,50,0)	314	328	1000	1000
(19566,0,28,0)	414	361	1000	1000
(19566,0,125,0)	17	26	0	0
(19566,0,199,0)	1	103	990	1000
(19566,1,181,0)	24	1	0	0
(19568,0,2,0)	129	98	798	990
(19568,0,205,0)	35	0	0	0
(19568,1,71,0)	47	142	1000	1000
(19569,1,180,0)	65	118	687	900
(19570,0,11,0)	252	93	1000	1000
(19571,0,42,0)	39	14	905	999
(19571,1,37,0)	1	0	0	0
(19571,1,177,0)	1	0	0	0
(19572,1,39,0)	35	69	797	970
(19573,0,49,0)	11	54	0	0
(19573,0,131,0)	1	22	1000	1000
(19573,1,52,0)	36	63	914	956
(19574,0,39,0)	100	24	666	917
(19574,0,108,0)	54	16	648	888
(19574,1,15,0)	57	166	959	1000
(19576,0,28,0)	9	58	1000	1000
(19577,1,191,0)	307	35	1000	1000
(19578,0,142,0)	153	74	987	984
(19580,1,21,0)	0	18	1000	1000
(19581,0,26,0)	10	36	950	965
(19581,1,201,0)	10	25	958	987
(19582,0,148,0)	55	2	924	940
(19582,1,14,0)	18	8	0	0
(19583,0,96,0)	94	112	1000	1000
(19583,1,128,0)	32	71	1000	1000
(19584,0,29,0)	235	73	828	979
(19585,0,53,0)	0	18	1000	1000
(19585,1,78,0)	61	83	1000	1000
(19587,0,30,0)	63	0	0	0
(19588,0,49,0)	118	127	951	973
(19589,0,137,0)	216	173	737	928
(19589,1,90,0)	2	93	1000	1000
(19590,1,2,0)	44	41	896	999
(19591,0,69,0)	317	253	998	1000
(19591,1,21,0)	65	11	623	919
(19592,0,154,0)	249	142	1000	1000
(19592,1,119,0)	69	14	808	956
(19594,0,21,0)	52	32	0	0
(19594,0,33,0)	162	25	1000	1000
(19594,0,152,0)	28	86	988	1000
(19594,1,160,0)	164	166	956	991
(19594,1,181,0)	163	102	893	984
(19595,1,162,0)	76	4	1000	1000
(19599,0,61,0)	3	92	517	936
(19599,1,91,0)	24	17	423	792
(19599,1,163,0)	28	145	1000	1000
(19600,0,96,0)	83	67	1000	1000
(19600,1,25,0)	11	50	957	988
(19601,1,111,0)	58	65	1000	1000
(19602,0,102,0)	0	18	0	0
(19604,0,29,0)	14	7	1000	1000
(19604,0,176,0)	0	71	777	909
(19604,1,15,0)	1	19	1000	1000
(19604,1,40,0)	87	109	976	1000
(19604,1,154,0)	11	58	931	991
(19604,1,191,0)	138	182	1000	1000
(19605,0,164,0)	61	64	1000	1000
(19605,0,224,0)	168	166	797	942
(19606,1,39,0)	43	28	0	0
(19606,1,175,0)	150	124	1000	1000
(19608,1,176,0)	93	246	1000	1000
(19609,0,10,0)	141	240	1000	1000
(19609,0,78,0)	91	66	1000	1000
(19609,1,119,0)	68	26	1000	1000
(19609,1,142,0)	205	241	1000	1000
(19610,0,112,0)	0	64	598	898
(19610,1,129,0)	6	49	890	947
(19611,1,1,0)	192	76	1000	1000
(19611,1,100,0)	124	295	984	981
(19611,1,146,0)	7	105	1000	1000
(19611,1,178,0)	34	9	970	990
(19611,1,190,0)	4	0	0	0
(19612,1,146,0)	42	64	667	921
(19613,0,50,0)	142	208	1000	1000
(19613,0,154,0)	258	75	925	1000
(19613,1,130,0)	232	183	1000	1000
(19614,0,23,0)	118	123	1000	979
(19614,0,140,0)	96	235	1000	1000
(19614,0,195,0)	11	44	849	934
(19614,1,88,0)	26	0	0	0
(19614,1,124,0)	69	0	0	0
(19614,1,149,0)	29	107	1000	1000
(19615,0,132,0)	45	166	1000	1000
(19615,1,22,0)	116	57	1000	1000
(19615,1,72,0)	0	40	0	0
(19615,1,86,0)	38	0	0	0
(19616,0,158,0)	74	2	0	0
(19616,0,179,0)	119	55	686	885
(19616,1,75,0)	116	199	1000	1000
(19617,0,28,0)	31	2	897	905
(19617,0,65,0)	77	74	884	996
(19618,1,145,0)	14	3	1000	989
(19618,1,179,0)	0	19	0	0
(19619,0,42,0)	194	140	1000	1000
(19619,0,177,0)	61	40	931	986
(19619,1,113,0)	0	23	876	982
(19620,1,24,0)	5	60	628	892
(19622,0,141,0)	84	4	1000	1000
(19623,0,156,0)	24	42	923	966
(19623,1,169,0)	99	11	1000	1000
(19624,0,57,0)	117	3	1000	1000
(19625,1,84,0)	38	52	1000	1000
(19625,1,175,0)	132	25	1000	1000
(19628,0,200,0)	41	15	0	0
(19628,1,184,0)	6	10	0	0
(19630,0,111,0)	114	22	1000	1000
(19631,1,51,0)	22	46	982	1000
(19631,1,122,0)	60	64	684	917
(19632,0,60,0)	43	16	592	816
(19633,0,178,0)	35	26	655	943
(19634,1,68,0)	49	126	929	1000
(19635,0,36,0)	179	64	1000	1000
(19635,1,24,0)	120	42	740	974
(19636,0,88,0)	8	75	1000	1000
(19637,0,53,0)	24	34	1000	1000
(19637,0,58,0)	175	49	1000	1000
(19637,0,134,0)	107	123	1000	924
(19638,0,65,0)	87	104	1000	1000
(19638,0,106,0)	36	10	806	993
(19638,0,143,0)	115	71	1000	1000
(19638,0,198,0)	119	32	1000	1000
(19639,1,27,0)	15	0	0	0
(19640,0,9,0)	221	80	1000	1000
(19641,0,19,0)	138	28	1000	1000
(19641,0,169,0)	338	62	933	994
(19641,1,180,0)	0	7	0	0
(19641,1,208,0)	28	4	0	0
(19642,0,77,0)	0	15	789	964
(19643,0,64,0)	80	95	998	1000
(19645,1,62,0)	157	261	758	933
(19645,1,165,0)	97	51	1000	1000
(19646,1,130,0)	26	58	633	914
(19648,0,155,0)	5	7	913	983
(19650,1,122,0)	15	44	0	0
(19650,1,175,0)	24	4	0	0
(19651,0,51,0)	25	24	1000	1000
(19651,0,72,0)	106	69	925	906
(19652,1,113,0)	7	105	1000	1000
(19652,1,146,0)	20	5	0	0
(19653,1,193,0)	4	19	876	997
(19654,0,4,0)	26	45	736	989
(19654,0,198,0)	146	56	1000	1000
(19654,1,94,0)	148	54	1000	1000
(19654,1,201,0)	147	105	1000	1000
(19655,0,32,0)	11	50	1000	1000
(19655,0,124,0)	32	92	0	0
(19655,1,65,0)	7	53	779	990
(19656,1,52,0)	434	286	1000	1000
(19657,0,60,0)	104	92	1000	1000
(19657,0,150,0)	267	330	691	917
(19657,1,72,0)	486	100	731	994
(19658,0,92,0)	76	16	1000	1000
(19659,1,167,0)	2	84	794	982
(19660,1,31,0)	0	9	0	0
(19661,0,62,0)	26	71	958	999
(19661,0,163,0)	300	87	844	979
(19661,1,13,0)	91	49	984	1000
(19661,1,37,0)	114	36	1000	1000
(19662,0,85,0)	0	96	1000	1000
(19664,0,41,0)	55	3	0	0
(19666,0,85,0)	13	2	0	0
(19667,0,131,0)	69	10	901	987
(19667,1,70,0)	74	244	950	1000
(19668,0,25,0)	58	239	1000	1000
(19669,0,79,0)	55	252	937	995
(19669,0,106,0)	45	233	1000	1000
(19669,0,120,0)	94	61	1000	1000
(19669,0,123,0)	14	28	985	1000
(19669,0,174,0)	44	26	1000	1000
(19669,1,95,0)	36	66	1000	1000
(19670,0,12,0)	51	0	0	0
(19670,0,99,0)	111	35	833	961
(19670,0,125,0)	16	38	696	893
(19670,1,112,0)	33	17	1000	1000
(19671,0,93,0)	84	16	911	980
(19671,0,99,0)	5	40	992	978
(19671,0,139,0)	0	69	839	917
(19671,1,182,0)	2	30	0	0
(19672,0,10,0)	17	27	1000	1000
(19674,0,23,0)	41	6	0	0
(19674,0,92,0)	49	206	1000	1000
(19675,1,185,0)	66	52	1000	1000
(19676,0,101,0)	145	69	1000	1000
(19676,1,167,0)	88	82	0	0
(19677,1,33,0)	30	87	1000	1000
(19677,1,200,0)	30	47	1000	1000
(19678,0,186,0)	354	212	1000	1000
(19678,1,48,0)	13	47	846	922
(19678,1,55,0)	12	14	0	0
(19679,1,130,0)	17	0	0	0
(19681,0,33,0)	40	48	562	845
(19681,0,139,0)	0	10	0	0
(19681,1,149,0)	26	33	1000	1000
(19681,1,173,0)	43	19	913	988
(19682,1,96,0)	7	0	0	0
(19683,0,112,0)	0	18	916	997
(19683,1,114,0)	374	84	1000	1000
(19684,1,96,0)	258	390	1000	1000
(19684,1,103,0)	6	0	786	968
(19685,0,148,0)	76	1	864	914
(19685,1,26,0)	94	31	974	1000
(19685,1,101,0)	21	0	0	0
(19686,0,117,0)	8	66	1000	1000
(19686,1,40,0)	102	24	0	0
(19687,0,25,0)	45	26	988	1000
(19687,0,191,0)	0	13	541	782
(19687,1,79,0)	0	24	0	0
(19688,0,98,0)	10	0	0	0
(19688,1,142,0)	287	237	1000	1000
(19688,1,158,0)	46	25	971	993
(19689,0,112,0)	148	236	535	930
(19689,0,177,0)	62	1	0	0
(19689,1,76,0)	5	62	1000	1000
(19689,1,133,0)	224	67	993	990
(19689,1,191,0)	115	253	911	922
(19690,0,23,0)	34	31	1000	1000
(19690,1,112,0)	38	24	1000	1000
(19691,0,37,0)	39	160	772	941
(19691,1,164,0)	33	8	1000	1000
(19692,0,165,0)	39	0	0	0
(19692,1,112,0)	12	1	0	0
(19693,1,12,0)	13	1	0	0
(19693,1,86,0)	88	76	854	990
(19694,0,76,0)	9	29	0	0
(19694,0,132,0)	37	66	1000	1000
(19695,0,28,0)	0	46	1000	1000
(19695,1,95,0)	53	29	880	993
(19696,0,135,0)	9	60	0	0
(19696,1,4,0)	104	206	872	993
(19697,0,37,0)	230	91	544	953
(19697,0,177,0)	2	58	0	0
(19697,1,62,0)	135	45	0	0
(19697,1,102,0)	178	224	1000	1000
(19698,0,11,0)	13	93	1000	1000
(19698,0,192,0)	119	61	830	918
(19698,1,162,0)	78	110	917	931
(19699,0,102,0)	7	0	0	0
(19699,1,42,0)	17	105	1000	1000
(19700,0,5,0)	6	19	0	0
(19700,0,35,0)	9	14	903	992
(19700,0,146,0)	83	2	961	976
(19701,0,86,0)	23	221	1000	1000
(19703,0,134,0)	39	102	1000	1000
(19703,0,148,0)	118	289	1000	1000
(19703,1,17,0)	15	62	868	933
(19703,1,26,0)	9	0	750	986
(19704,0,166,0)	24	29	1000	1000
(19704,0,190,0)	54	0	1000	1000
(19704,0,204,0)	45	17	0	0
(19704,0,205,0)	140	111	1000	1000
(19704,1,13,0)	90	8	807	965
(19705,0,166,0)	95	4	0	0
(19705,1,49,0)	191	225	597	936
(19705,1,78,0)	17	46	1000	1000
(19706,0,90,0)	108	12	1000	1000
(19706,1,70,0)	68	2	1000	1000
(19707,0,129,0)	2	70	691	954
(19707,1,84,0)	164	163	817	983
(19708,0,182,0)	0	3	0	0
(19708,1,93,0)	95	0	1000	973
(19709,0,153,0)	340	77	1000	1000
(19710,1,145,0)	15	0	0	0
(19711,0,135,0)	0	21	0	0
(19711,0,164,0)	31	20	0	0
(19711,1,140,0)	58	12	876	980
(19711,1,160,0)	43	67	799	969
(19712,0,93,0)	0	59	704	957
(19712,0,107,0)	236	154	1000	1000
(19712,0,180,0)	15	0	1000	1000
(19712,1,35,0)	2	5	0	0
(19713,1,122,0)	16	0	0	0
(19713,1,123,0)	88	61	1000	1000
(19713,1,135,0)	89	182	880	964
(19714,0,106,0)	19	61	1000	1000
(19714,0,121,0)	5	24	0	0
(19714,1,2,0)	353	91	1000	1000
(19714,1,171,0)	63	21	0	0
(19714,1,205,0)	4	17	0	0
(19715,0,30,0)	56	33	0	0
(19715,0,94,0)	2	0	0	0
(19716,0,149,0)	13	129	925	987
(19717,0,60,0)	94	147	870	919
(19717,0,151,0)	15	50	1000	1000
(19717,0,175,0)	0	9	0	0
(19717,0,189,0)	46	3	1000	1000
(19717,1,11,0)	87	144	732	924
(19717,1,39,0)	0	7	0	0
(19718,0,9,0)	34	18	0	0
(19718,0,175,0)	67	8	0	0
(19718,0,233,0)	58	34	1000	1000
(19718,1,0,0)	107	69	1000	1000
(19718,1,156,0)	21	33	0	0
(19719,0,1,0)	12	0	0	0
(19719,0,41,0)	68	159	1000	1000
(19720,1,110,0)	94	146	971	1000
(19721,1,148,0)	154	315	1000	1000
(19721,1,164,0)	0	5	0	0
(19722,0,193,0)	34	12	859	918
(19723,0,69,0)	218	75	618	940
(19723,1,33,0)	27	41	879	992
(19723,1,73,0)	0	6	0	0
(19723,1,157,0)	9	14	0	0
(19724,0,66,0)	34	50	1000	1000
(19724,0,138,0)	86	154	909	999
(19724,0,161,0)	145	36	1000	1000
(19724,1,46,0)	167	129	1000	1000
(19725,1,70,0)	41	1	948	1000
(19726,0,17,0)	73	0	0	0
(19726,1,83,0)	146	283	1000	1000
(19727,0,22,0)	25	58	768	867
(19727,0,70,0)	7	10	0	0
(19727,0,139,0)	32	3	833	915
(19728,0,167,0)	98	156	664	906
(19728,0,179,0)	60	25	928	931
(19728,1,9,0)	12	41	0	0
(19728,1,84,0)	4	153	1000	1000
(19728,1,138,0)	20	98	987	1000
(19729,0,78,0)	41	105	764	976
(19729,0,172,0)	39	76	1000	1000
(19729,1,118,0)	0	72	0	0
(19730,1,76,0)	25	0	0	0
(19731,1,44,0)	21	15	0	0
(19731,1,47,0)	69	224	808	985
(19731,1,133,0)	1	56	970	998
(19731,1,184,0)	122	65	1000	1000
(19734,0,167,0)	106	148	1000	1000
